TIME[S],SPEED,altitude
44,333,4
45,852,5
46,873,5
47,891,5
48,910,5
49,928,6
50,946,6
51,965,6
52,983,6
53,999,7
54,1015,7
55,1030,7
56,1046,7
57,1063,8
58,1079,8
59,1097,8
60,1115,9
61,1134,9
62,1154,9
63,1175,10
64,1196,10
65,1217,10
66,1238,10
67,1260,11
68,1282,11
69,1305,11
70,1329,12
71,1354,12
72,1379,13
73,1404,13
74,1431,13
75,1457,14
76,1484,14
77,1512,14
78,1540,15
79,1567,15
80,1598,16
81,1629,16
82,1661,16
83,1693,17
84,1725,17
85,1709,18
86,1717,17
87,1794,18
88,1862,19
89,1898,20
90,1936,20
91,1973,21
92,2012,21
93,2051,22
94,2091,22
95,2132,23
96,2173,23
97,2215,24
98,2259,24
99,2303,25
100,2347,25
101,2391,26
102,2436,26
103,2483,27
104,2530,27
105,2577,28
106,2625,29
107,2673,29
108,2722,30
109,2772,30
110,2321,31
111,2372,31
112,2924,32
113,2973,33
114,3025,33
115,3076,34
116,3129,35
117,3180,35
118,3233,36
119,3285,37
120,3336,37
121,3383,38
122,3439,39
123,3493,39
124,3547,40
125,3500,41
126,3654,41
127,3707,42
128,3761,43
129,3816,44
130,3870,44
131,3924,45
132,3977,46
133,4033,47
134,4089,47
135,4144,48
136,4199,49
137,4255,50
138,4310,50
139,4367,51
140,4421,52
141,4477,53
142,4534,53
143,4580,54
144,4644,55
145,4701,56
146,4758,57
147,4815,57
148,4872,58
149,4931,59
150,4988,60
151,5046,60
152,5106,61
153,5161,62
154,5220,63
155,5266,64
156,5274,64
157,5263,65
158,5250,66
159,5236,67
160,5225,67
161,5222,68
162,5225,69
163,5234,70
164,5248,70
165,5263,71
166,5279,72
167,5295,73
168,5311,73
169,5328,74
170,5345,75
171,5363,75
172,5380,76
173,5398,77
174,5416,77
175,5434,78
176,5453,79
177,5471,79
178,5490,80
179,5509,81
180,5528,81
181,5547,82
182,5567,83
183,5587,83
184,5608,84
185,5628,85
186,5649,85
187,5670,86
188,5691,87
189,5713,87
190,5735,88
191,5757,88
192,5780,89
193,5802,90
194,5825,90
195,5848,91
196,5871,92
197,5895,92
198,5918,93
199,5942,93
200,5966,94
201,5990,94
202,6015,95
203,6040,96
204,6065,96
205,6090,97
206,6115,97
207,6141,98
208,6167,98
209,6193,99
210,6219,99
211,6246,100
212,6273,101
213,6299,101
214,6326,102
215,6354,102
216,6382,103
217,6410,103
218,6437,104
219,6466,104
220,6493,105
221,6522,105
222,6551,106
223,6580,106
224,6610,107
225,6640,107
226,6670,108
227,6700,108
228,6730,109
229,6761,109
230,6792,110
231,6822,110
232,6854,110
233,6885,111
234,6917,111
235,6949,112
236,6981,112
237,7014,113
238,7046,113
239,7079,114
240,7112,114
241,7146,114
242,7179,115
243,7213,115
244,7247,116
245,7281,116
246,7315,117
247,7349,117
248,7384,117
249,7419,118
250,7454,118
251,7490,119
252,7525,119
253,7560,119
254,7596,120
255,7633,120
256,7669,120
257,7706,121
258,7742,121
259,7780,122
260,7818,122
261,7855,122
262,7893,123
263,7931,123
264,7970,123
265,8008,124
266,8047,124
267,8086,124
268,8126,125
269,8166,125
270,8206,125
271,8246,126
272,8287,126
273,8327,126
274,8368,127
275,8410,127
276,8451,127
277,8493,128
278,8535,128
279,8577,128
280,8619,128
281,8661,129
282,8705,129
283,8748,129
284,8791,130
285,8835,130
286,8878,130
287,8921,130
288,8966,131
289,9010,131
290,9055,131
291,9099,131
292,9145,132
293,9191,132
294,9237,132
295,9283,133
296,9330,133
297,9377,133
298,9424,133
299,9472,133
300,9519,134
301,9568,134
302,9615,134
303,9663,134
304,9712,135
305,9761,135
306,9810,135
307,9859,135
308,9909,135
309,9958,136
310,10009,136
311,10060,136
312,10110,136
313,10161,136
314,10212,137
315,10264,137
316,10316,137
317,10368,137
318,10421,137
319,10473,138
320,10525,138
321,10578,138
322,10631,138
323,10685,138
324,10738,138
325,10793,139
326,10848,139
327,10903,139
328,10958,139
329,11014,139
330,11070,139
331,11126,139
332,11183,140
333,11240,140
334,11297,140
335,11354,140
336,11414,140
337,11472,140
338,11531,140
339,11590,141
340,11650,141
341,11710,141
342,11770,141
343,11830,141
344,11889,141
345,11951,141
346,12013,141
347,12074,141
348,12136,142
349,12199,142
350,12262,142
351,12326,142
352,12390,142
353,12452,142
354,12518,142
355,12582,142
356,12647,142
357,12713,142
358,12779,142
359,12846,143
360,12913,143
361,12981,143
362,13049,143
363,13117,143
364,13186,143
365,13254,143
366,13323,143
367,13391,143
368,13463,143
369,13535,143
370,13607,143
371,13678,143
372,13750,143
373,13823,143
374,13896,143
375,13969,144
376,14042,144
377,14114,144
378,14190,144
379,14265,144
380,14341,144
381,14418,144
382,14495,144
383,14573,144
384,14651,144
385,14730,144
386,14808,144
387,14885,144
388,14965,144
389,15045,144
390,15126,144
391,15206,144
392,15290,144
393,15372,144
394,15456,144
395,15539,144
396,15623,144
397,15709,144
398,15794,144
399,15883,144
400,15969,144
401,16056,144
402,16140,144
403,16235,144
404,16327,144
405,16416,144
406,16507,144
407,16599,144
408,16690,144
409,16782,144
410,16878,144
411,16970,144
412,17065,144
413,17161,144
414,17257,144
415,17354,144
416,17452,144
417,17543,144
418,17650,144
419,17750,144
420,17846,144
421,17947,144
422,18049,144
423,18153,144
424,18256,144
425,18361,144
426,18465,144
427,18572,144
428,18678,144
429,18786,144
430,18894,144
431,19003,144
432,19115,144
433,19225,144
434,19339,144
435,19453,145
436,19568,145
437,19683,145
438,19798,145
439,19914,145
440,20032,145
441,20150,145
442,20269,145
443,20391,145
444,20516,145
445,20641,145
446,20763,145
447,20888,145
448,21010,145
449,21132,145
450,21259,145
451,21381,145
452,21505,145
453,21629,145
454,21744,145
455,21873,145
456,21997,145
457,22122,145
458,22245,145
459,22369,145
460,22494,145
461,22617,145
462,22741,145
463,22866,145
464,22988,145
465,23112,145
466,23236,146
467,23363,146
468,23487,146
469,23611,146
470,23736,146
471,23860,146
472,23986,146
473,24112,146
474,24235,146
475,24359,146
476,24484,146
477,24608,146
478,24732,146
479,24840,146
480,24902,147
481,24957,147
482,25013,147
483,25069,147
484,25124,147
485,25180,147
486,25235,147
487,25291,147
488,25347,147
489,25405,147
490,25462,148
491,25519,148
492,25576,148
493,25635,148
494,25692,148
495,25750,148
496,25809,148
497,25867,148
498,25926,148
499,25985,148
500,26046,149
501,26106,149
502,26166,149
503,26226,149
504,26287,149
505,26347,149
506,26408,149
507,26469,149
508,26499,149
509,26502,150
510,26502,150
511,26502,150
512,26501,150
513,26501,150
514,26500,150
515,26500,150
516,26499,150
517,26499,151
518,26499,151
519,26498,151
520,26498,151
521,26497,151
522,26497,151
523,26496,151
524,26496,151
525,26495,152
526,26495,152
527,26494,152
528,26494,152
529,26493,152
530,26493,152
531,26493,152
532,26492,152
533,26492,153
534,26491,153
535,26491,153
536,26490,153
537,26490,153
538,26489,153
539,26489,153
540,26488,153
541,26488,153
542,26487,154
543,26487,154
544,26486,154
545,26486,154
546,26485,154
547,26485,154
548,26485,154
549,26484,154
550,26483,155
551,26483,155
552,26482,155
553,26482,155
554,26481,155
555,26481,155
556,26481,155
557,26480,155
558,26480,156
559,26479,156
560,26479,156
561,26478,156
562,26478,156
563,26477,156
564,26477,156
565,26476,156
566,26476,156
567,26475,157
568,26475,157
569,26474,157
570,26474,157
571,26473,157
572,26473,157
573,26472,157
574,26472,157
575,26471,158
576,26471,158
577,26470,158
578,26470,158
579,26469,158
580,26469,158
581,26468,158
582,26468,158
583,26467,158
584,26467,159
585,26466,159
586,26466,159
587,26465,159
588,26465,159
589,26464,159
590,26464,159
591,26463,159
592,26463,159
593,26462,160
594,26462,160
595,26461,160
596,26461,160
597,26460,160
598,26460,160
599,26459,160
600,26459,160
601,26458,161
602,26458,161
603,26457,161
604,26456,161
605,26456,161
606,26456,161
607,26455,161
608,26455,161
609,26454,161
610,26454,162
611,26453,162
612,26453,162
613,26453,162
614,26452,162
615,26451,162
616,26450,162
617,26450,162
618,26450,162
619,26450,163
620,26449,163
621,26449,163
622,26448,163
623,26448,163
624,26447,163
625,26447,163
626,26446,163
627,26446,163
628,26445,164
629,26445,164
630,26444,164
631,26444,164
632,26443,164
633,26443,164
634,26442,164
635,26441,164
636,26441,164
637,26441,165
638,26440,165
639,26440,165
640,26439,165
641,26439,165
642,26438,165
643,26438,165
644,26437,165
645,26437,165
646,26436,166
647,26436,166
648,26435,166
649,26435,166
650,26435,166
651,26434,166
652,26433,166
653,26433,166
654,26432,166
655,26432,167
656,26432,167
657,26431,167
658,26431,167
659,26430,167
660,26430,167
661,26429,167
662,26429,167
663,26428,167
664,26428,168
665,26427,168
666,26427,168
667,26426,168
668,26426,168
669,26425,168
670,26425,168
671,26424,168
672,26424,168
673,26423,169
674,26423,169
675,26423,169
676,26422,169
677,26422,169
678,26421,169
679,26421,169
680,26420,169
681,26420,169
682,26419,169
683,26419,170
684,26418,170
685,26418,170
686,26417,170
687,26417,170
688,26416,170
689,26416,170
690,26415,170
691,26415,170
692,26414,171
693,26414,171
694,26414,171
695,26413,171
696,26413,171
697,26412,171
698,26412,171
699,26411,171
700,26410,171
701,26410,171
702,26410,172
703,26409,172
704,26409,172
705,26408,172
706,26408,172
707,26408,172
708,26407,172
709,26407,172
710,26406,172
711,26406,173
712,26405,173
713,26405,173
714,26404,173
715,26404,173
716,26403,173
717,26403,173
718,26402,173
719,26402,173
720,26402,173
721,26401,174
722,26401,174
723,26400,174
724,26400,174
725,26399,174
726,26399,174
727,26398,174
728,26398,174
729,26397,174
730,26397,174
731,26397,175
732,26396,175
733,26396,175
734,26395,175
735,26395,175
736,26394,175
737,26394,175
738,26393,175
739,26393,175
740,26393,175
741,26392,176
742,26392,176
743,26391,176
744,26391,176
745,26390,176
746,26390,176
747,26389,176
748,26389,176
749,26388,176
750,26388,176
751,26388,177
752,26387,177
753,26387,177
754,26386,177
755,26386,177
756,26385,177
757,26385,177
758,26384,177
759,26384,177
760,26383,177
761,26383,178
762,26383,178
763,26382,178
764,26382,178
765,26381,178
766,26381,178
767,26380,178
768,26380,178
769,26380,178
770,26379,178
771,26379,178
772,26379,179
773,26378,179
774,26378,179
775,26377,179
776,26377,179
777,26376,179
778,26376,179
779,26375,179
780,26375,179
781,26374,179
782,26374,180
783,26373,180
784,26373,180
785,26373,180
786,26372,180
787,26372,180
788,26371,180
789,26371,180
790,26371,180
791,26370,180
792,26370,180
793,26369,181
794,26369,181
795,26368,181
796,26368,181
797,26368,181
798,26367,181
799,26367,181
800,26366,181
801,26366,181
802,26365,181
803,26365,182
804,26365,182
805,26364,182
806,26364,182
807,26363,182
808,26363,182
809,26363,182
810,26362,182
811,26362,182
812,26361,182
813,26361,182
814,26360,183
815,26360,183
816,26360,183
817,26359,183
818,26359,183
819,26358,183
820,26358,183
821,26357,183
822,26357,183
823,26357,183
824,26356,183
825,26356,183
826,26355,184
827,26355,184
828,26355,184
829,26354,184
830,26354,184
831,26354,184
832,26353,184
833,26353,184
834,26352,184
835,26352,184
836,26351,184
837,26351,185
838,26351,185
839,26350,185
840,26350,185
841,26349,185
842,26349,185
843,26348,185
844,26346,185
845,26345,185
846,26344,185
847,26344,185
848,26344,186
849,26344,186
850,26344,186
851,26344,186
852,26344,186
853,26344,186
854,26344,186
855,26344,186
856,26343,186
857,26343,186
858,26342,186
859,26342,186
860,26342,187
861,26341,187
862,26341,187
863,26341,187
864,26340,187
865,26340,187
866,26339,187
867,26339,187
868,26339,187
869,26338,187
870,26338,187
871,26337,187
872,26337,188
873,26336,188
874,26336,188
875,26336,188
876,26335,188
877,26335,188
878,26335,188
879,26334,188
880,26334,188
881,26334,188
882,26333,188
883,26333,188
884,26332,189
885,26332,189
886,26332,189
887,26331,189
888,26331,189
889,26330,189
890,26330,189
891,26330,189
892,26330,189
893,26329,189
894,26329,189
895,26328,189
896,26328,190
897,26327,190
898,26327,190
899,26327,190
900,26326,190
901,26326,190
902,26326,190
903,26325,190
904,26325,190
905,26325,190
906,26324,190
907,26324,190
908,26323,191
909,26323,191
910,26323,191
911,26322,191
912,26322,191
913,26321,191
914,26321,191
915,26321,191
916,26320,191
917,26320,191
918,26320,191
919,26319,191
920,26318,191
921,26318,192
922,26318,192
923,26318,192
924,26317,192
925,26317,192
926,26317,192
927,26317,192
928,26316,192
929,26316,192
930,26315,192
931,26315,192
932,26315,192
933,26314,192
934,26314,193
935,26314,193
936,26313,193
937,26313,193
938,26313,193
939,26312,193
940,26312,193
941,26311,193
942,26312,193
943,26311,193
944,26311,193
945,26310,193
946,26310,193
947,26310,194
948,26309,194
949,26309,194
950,26308,194
951,26308,194
952,26308,194
953,26307,194
954,26307,194
955,26307,194
956,26306,194
957,26306,194
958,26306,194
959,26305,194
960,26305,194
961,26305,195
962,26304,195
963,26304,195
964,26304,195
965,26303,195
966,26303,195
967,26303,195
968,26302,195
969,26302,195
970,26302,195
971,26301,195
972,26301,195
973,26300,195
974,26300,195
975,26300,196
976,26300,196
977,26299,196
978,26299,196
979,26299,196
980,26298,196
981,26298,196
982,26298,196
983,26297,196
984,26297,196
985,26297,196
986,26296,196
987,26296,196
988,26296,196
989,26296,197
990,26295,197
991,26295,197
992,26295,197
993,26294,197
994,26294,197
995,26294,197
996,26293,197
997,26293,197
998,26293,197
999,26292,197
1000,26292,197
1001,26292,197
1002,26291,197
1003,26291,197
1004,26291,198
1005,26290,198
1006,26290,198
1007,26290,198
1008,26290,198
1009,26289,198
1010,26289,198
1011,26288,198
1012,26288,198
1013,26288,198
1014,26288,198
1015,26287,198
1016,26287,198
1017,26287,198
1018,26286,198
1019,26286,199
1020,26286,199
1021,26285,199
1022,26285,199
1023,26285,199
1024,26285,199
1025,26284,199
1026,26284,199
1027,26284,199
1028,26283,199
1029,26283,199
1030,26283,199
1031,26282,199
1032,26282,199
1033,26282,199
1034,26282,199
1035,26281,200
1036,26281,200
1037,26281,200
1038,26281,200
1039,26280,200
1040,26280,200
1041,26280,200
1042,26280,200
1043,26279,200
1044,26279,200
1045,26279,200
1046,26279,200
1047,26278,200
1048,26278,200
1049,26277,200
1050,26277,200
1051,26277,200
1052,26277,201
1053,26276,201
1054,26276,201
1055,26276,201
1056,26276,201
1057,26275,201
1058,26275,201
1059,26275,201
1060,26275,201
1061,26274,201
1062,26274,201
1063,26274,201
1064,26273,201
1065,26273,201
1066,26273,201
1067,26273,201
1068,26272,201
1069,26272,202
1070,26272,202
1071,26271,202
1072,26271,202
1073,26271,202
1074,26271,202
1075,26271,202
1076,26270,202
1077,26270,202
1078,26270,202
1079,26269,202
1080,26269,202
1081,26269,202
1082,26269,202
1083,26269,202
1084,26268,202
1085,26268,202
1086,26268,202
1087,26268,203
1088,26267,203
1089,26267,203
1090,26267,203
1091,26266,203
1092,26266,203
1093,26266,203
1094,26266,203
1095,26266,203
1096,26265,203
1097,26265,203
1098,26265,203
1099,26265,203
1100,26264,203
1101,26265,203
1102,26264,203
1103,26264,203
1104,26264,203
1105,26263,203
1106,26263,204
1107,26263,204
1108,26263,204
1109,26262,204
1110,26262,204
1111,26262,204
1112,26262,204
1113,26261,204
1114,26261,204
1115,26261,204
1116,26261,204
1117,26260,204
1118,26260,204
1119,26260,204
1120,26260,204
1121,26260,204
1122,26259,204
1123,26259,204
1124,26259,204
1125,26259,204
1126,26258,205
1127,26258,205
1128,26258,205
1129,26258,205
1130,26257,205
1131,26257,205
1132,26257,205
1133,26257,205
1134,26257,205
1135,26256,205
1136,26256,205
1137,26256,205
1138,26256,205
1139,26255,205
